age,occupation,marital_status,education_level,credit_default,housing_loan,personal_loan,contact_method,last_contact_month,last_contact_day_of_week,last_contact_duration,campaign_contacts,days_since_previous_contact,previous_contacts,previous_campaign_outcome,employment_variation_rate,consumer_price_index,consumer_confidence_index,euribor_3_month_rate,number_employed,subscription_status
56,Housemaid,Married,Basic (4 Years),No,No,No,Telephone,5,Monday,261,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
37,Services,Married,High School,No,Yes,No,Telephone,5,Monday,226,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
40,Admin,Married,Basic (6 Years),No,No,No,Telephone,5,Monday,151,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
56,Services,Married,High School,No,No,Yes,Telephone,5,Monday,307,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
59,Admin,Married,Professional Course,No,No,No,Telephone,5,Monday,139,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
24,Technician,Single,Professional Course,No,Yes,No,Telephone,5,Monday,380,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
25,Services,Single,High School,No,Yes,No,Telephone,5,Monday,50,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
25,Services,Single,High School,No,Yes,No,Telephone,5,Monday,222,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
29,Blue-collar,Single,High School,No,No,Yes,Telephone,5,Monday,137,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
57,Housemaid,Divorced,Basic (4 Years),No,Yes,No,Telephone,5,Monday,293,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Blue-collar,Married,Basic (6 Years),No,Yes,No,Telephone,5,Monday,146,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Blue-collar,Married,Basic (6 Years),No,Yes,No,Telephone,5,Monday,312,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
50,Blue-collar,Married,Basic (9 Years),No,Yes,Yes,Telephone,5,Monday,353,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
30,Unemployed,Married,High School,No,No,No,Telephone,5,Monday,38,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
55,Retired,Single,High School,No,Yes,No,Telephone,5,Monday,342,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
41,Technician,Single,High School,No,Yes,No,Telephone,5,Monday,181,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
37,Admin,Married,High School,No,Yes,No,Telephone,5,Monday,172,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Technician,Married,University Degree,No,No,Yes,Telephone,5,Monday,99,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
54,Blue-collar,Divorced,Basic (4 Years),No,No,No,Telephone,5,Monday,208,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
34,Services,Married,High School,No,No,No,Telephone,5,Monday,365,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
52,Technician,Married,Basic (9 Years),No,Yes,No,Telephone,5,Monday,1666,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
41,Admin,Married,University Degree,No,Yes,No,Telephone,5,Monday,577,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
56,Technician,Married,Basic (4 Years),No,Yes,No,Telephone,5,Monday,137,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
32,Entrepreneur,Married,High School,No,Yes,No,Telephone,5,Monday,314,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
38,Admin,Single,Professional Course,No,No,No,Telephone,5,Monday,160,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
57,Admin,Married,University Degree,No,No,Yes,Telephone,5,Monday,212,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
57,Admin,Married,University Degree,No,Yes,Yes,Telephone,5,Monday,616,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
40,Blue-collar,Married,Basic (9 Years),No,No,Yes,Telephone,5,Monday,178,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Admin,Married,University Degree,No,Yes,No,Telephone,5,Monday,355,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
45,Blue-collar,Married,Basic (9 Years),No,Yes,No,Telephone,5,Monday,225,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
54,Admin,Married,High School,No,No,No,Telephone,5,Monday,160,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
39,Housemaid,Married,Basic (4 Years),No,No,Yes,Telephone,5,Monday,266,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
60,Admin,Married,High School,No,No,No,Telephone,5,Monday,253,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
53,Admin,Single,Professional Course,No,No,No,Telephone,5,Monday,179,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
25,Technician,Single,University Degree,No,Yes,No,Telephone,5,Monday,174,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
51,Blue-collar,Married,Basic (9 Years),No,Yes,No,Telephone,5,Monday,812,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
48,Admin,Married,High School,No,No,No,Telephone,5,Monday,357,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
37,Admin,Married,University Degree,No,No,No,Telephone,5,Monday,232,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
44,Blue-collar,Single,Basic (9 Years),No,Yes,No,Telephone,5,Monday,91,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
56,Admin,Married,Basic (9 Years),No,Yes,No,Telephone,5,Monday,158,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
41,Management,Married,Basic (6 Years),No,No,No,Telephone,5,Monday,200,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
44,Management,Divorced,University Degree,No,Yes,No,Telephone,5,Monday,172,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
55,Technician,Married,University Degree,No,No,No,Telephone,5,Monday,349,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
38,Technician,Single,University Degree,No,No,Yes,Telephone,5,Monday,20,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
31,Admin,Divorced,High School,No,No,No,Telephone,5,Monday,246,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
41,Management,Married,Basic (6 Years),No,No,No,Telephone,5,Monday,529,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
39,Admin,Married,University Degree,No,Yes,Yes,Telephone,5,Monday,192,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
49,Technician,Married,Basic (9 Years),No,No,No,Telephone,5,Monday,1467,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,Yes
34,Admin,Married,High School,No,Yes,No,Telephone,5,Monday,188,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
35,Admin,Married,University Degree,No,Yes,No,Telephone,5,Monday,180,2,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
33,Unemployed,Married,Basic (9 Years),No,No,No,Telephone,5,Monday,545,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
42,Blue-collar,Married,Basic (6 Years),No,No,Yes,Telephone,5,Monday,583,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
45,Services,Married,Professional Course,No,Yes,No,Telephone,5,Monday,221,1,999,0,Non-existent,1.1,93.994,-36.4,4.857,5191.0,No
